"","score","lambda"
"1",0.655425049854166,0.712988285266656
"2",0.647619440333943,0.620120849988838
"3",0.643514744394229,0.712988285266656
"4",0.643700988405504,0.649648371081623
"5",0.632449848290981,0.649648371081623
"6",0.619190630571328,0.649648371081623
"7",0.625318978135377,0.565031022800509
"8",0.634050376842402,0.620120849988838
"9",0.640237370715569,0.649648371081623
"10",0.639646280157759,0.680581867319254
"11",0.616227635372792,0.782503762891166
"12",0.649350497138077,0.649648371081623
"13",0.606116162211206,0.649648371081623
"14",0.620215420722388,0.74693775919984
"15",0.610823873762487,0.74693775919984
"16",0.629617273593308,0.680581867319254
"17",0.644984268492538,0.620120849988838
"18",0.607327244098976,0.649648371081623
"19",0.642456552875658,0.712988285266656
"20",0.644169807749671,0.782503762891166
"21",0.642425568044262,0.680581867319254
"22",0.636505713723779,0.620120849988838
"23",0.637436169162992,0.620120849988838
"24",0.644657195970327,0.649648371081623
"25",0.641665669936946,0.74693775919984
"26",0.645487026654379,0.782503762891166
"27",0.648528323341402,0.819763268621974
"28",0.644351094676574,0.649648371081623
"29",0.639543171464514,0.782503762891166
"30",0.647488698580221,0.620120849988838
"31",0.629205040908175,0.712988285266656
"32",0.581252054139932,0.680581867319254
"33",0.635624735853322,0.712988285266656
"34",0.620526807501318,0.514835224025666
"35",0.657890442257736,0.59193540030067
"36",0.617810581854579,0.680581867319254
"37",0.634688884643507,0.680581867319254
"38",0.606791148078369,0.942528552668228
"39",0.639521607683216,0.74693775919984
"40",0.65348605884559,0.649648371081623
"41",0.66011976945701,0.680581867319254
"42",0.636852204547753,0.649648371081623
"43",0.631305646126739,0.712988285266656
"44",0.667980798543033,0.680581867319254
"45",0.649146327855692,0.74693775919984
"46",0.647260281159731,0.74693775919984
"47",0.636585725731582,0.680581867319254
"48",0.631016661580601,0.712988285266656
"49",0.64297597308844,0.649648371081623
"50",0.576567183139692,0.680581867319254
"51",0.617831510228946,0.819763268621974
"52",0.620828240956225,0.782503762891166
"53",0.651088716208348,0.680581867319254
"54",0.659628322272658,0.59193540030067
"55",0.653597283492258,0.712988285266656
"56",0.636006744875668,0.649648371081623
"57",0.630903968314314,0.680581867319254
"58",0.627474829604212,0.59193540030067
"59",0.626401120499111,0.680581867319254
"60",0.658303857247083,0.620120849988838
"61",0.650437228026975,0.649648371081623
"62",0.644923546394877,0.712988285266656
"63",0.65161528840497,0.712988285266656
"64",0.629780574199761,0.819763268621974
"65",0.642276362672939,0.649648371081623
"66",0.641843551196764,0.74693775919984
"67",0.623349130001739,0.59193540030067
"68",0.645532371057852,0.680581867319254
"69",0.641275504593639,0.59193540030067
"70",0.635612920883073,0.680581867319254
"71",0.626839129584478,0.712988285266656
"72",0.638897959066368,0.680581867319254
"73",0.655040955587636,0.680581867319254
"74",0.602848314778177,0.712988285266656
"75",0.561023252705587,0.565031022800509
"76",0.648918362473944,0.59193540030067
"77",0.643236242069845,0.59193540030067
"78",0.622811236269783,0.819763268621974
"79",0.648590981763793,0.680581867319254
"80",0.66677343397486,0.620120849988838
"81",0.628274382956142,0.59193540030067
"82",0.625138930087222,0.565031022800509
"83",0.645013751796028,0.712988285266656
"84",0.665523429354464,0.712988285266656
"85",0.615984423162538,0.620120849988838
"86",0.649732217810289,0.782503762891166
"87",0.64811822032893,0.782503762891166
"88",0.652200709459688,0.712988285266656
"89",0.65877756909189,0.680581867319254
"90",0.640234175753771,0.649648371081623
"91",0.642471630459307,0.712988285266656
"92",0.633678330186306,0.712988285266656
"93",0.596612249765975,0.649648371081623
"94",0.641936773445328,0.712988285266656
"95",0.650339958012564,0.649648371081623
"96",0.652102529261252,0.649648371081623
"97",0.644631939710275,0.649648371081623
"98",0.665440525687802,0.680581867319254
"99",0.64194835327818,0.565031022800509
"100",0.640602506383696,0.74693775919984
