"","score","lambda"
"1",0.685660348777219,0.438897784407053
"2",0.687032586060757,0.381730910239189
"3",0.677871537572949,0.418949202738051
"4",0.665787536224621,0.481689776564378
"5",0.681032189964956,0.381730910239189
"6",0.689363608798595,0.381730910239189
"7",0.690313874983555,0.399907314893312
"8",0.689084787511092,0.418949202738051
"9",0.676027923045926,0.418949202738051
"10",0.681544012084982,0.504625797886576
"11",0.688976683566909,0.381730910239189
"12",0.676462654564753,0.399907314893312
"13",0.681773306314836,0.381730910239189
"14",0.684429268594122,0.418949202738051
"15",0.680839313219866,0.418949202738051
"16",0.668794919020759,0.381730910239189
"17",0.682990648263784,0.381730910239189
"18",0.678473877737617,0.347818988268014
"19",0.69715189190149,0.418949202738051
"20",0.691579874426075,0.381730910239189
"21",0.671013655193987,0.459796232809311
"22",0.680652239455177,0.399907314893312
"23",0.687431169929507,0.438897784407053
"24",0.678457822179073,0.399907314893312
"25",0.675709942711662,0.399907314893312
"26",0.679789599406984,0.481689776564378
"27",0.672337627135507,0.399907314893312
"28",0.676863820535319,0.399907314893312
"29",0.675228797908356,0.399907314893312
"30",0.679652905390877,0.381730910239189
"31",0.677946741433894,0.364380651228935
"32",0.681737583815717,0.381730910239189
"33",0.680857920695772,0.459796232809311
"34",0.690910664945124,0.399907314893312
"35",0.677895099417757,0.418949202738051
"36",0.678999217084316,0.399907314893312
"37",0.685860344997361,0.381730910239189
"38",0.682489996323742,0.459796232809311
"39",0.687734380713679,0.418949202738051
"40",0.683366640985688,0.418949202738051
"41",0.673295112366705,0.399907314893312
"42",0.692219803427113,0.399907314893312
"43",0.686291559117609,0.418949202738051
"44",0.683715187823984,0.399907314893312
"45",0.691558233023834,0.399907314893312
"46",0.690203187859444,0.347818988268014
"47",0.682144289466679,0.438897784407053
"48",0.688752626809033,0.347818988268014
"49",0.689006051927335,0.399907314893312
"50",0.676461235228225,0.332010078448914
"51",0.684283421638047,0.364380651228935
"52",0.677010941131114,0.459796232809311
"53",0.6826320845012,0.438897784407053
"54",0.676153344759765,0.438897784407053
"55",0.65962489948497,0.418949202738051
"56",0.697797018036,0.399907314893312
"57",0.674445210963783,0.347818988268014
"58",0.677787260484718,0.418949202738051
"59",0.694232688412207,0.381730910239189
"60",0.696018471647921,0.364380651228935
"61",0.681730691788323,0.381730910239189
"62",0.683399680396859,0.418949202738051
"63",0.694497091661637,0.399907314893312
"64",0.672815933369383,0.381730910239189
"65",0.687300182911707,0.364380651228935
"66",0.699169634716823,0.399907314893312
"67",0.682992537904412,0.399907314893312
"68",0.694645655587941,0.381730910239189
"69",0.689482768665464,0.399907314893312
"70",0.674364411800925,0.438897784407053
"71",0.692804408565831,0.381730910239189
"72",0.697597532424521,0.316919707979585
"73",0.683807328621246,0.459796232809311
"74",0.67417948740986,0.459796232809311
"75",0.688070991402658,0.438897784407053
"76",0.68589280542171,0.364380651228935
"77",0.682435271983515,0.381730910239189
"78",0.679654823045224,0.399907314893312
"79",0.686094721828159,0.399907314893312
"80",0.683509070834097,0.399907314893312
"81",0.682133635859999,0.399907314893312
"82",0.68290589865056,0.381730910239189
"83",0.674923661332426,0.381730910239189
"84",0.6796652104987,0.399907314893312
"85",0.68519827044589,0.438897784407053
"86",0.680516102943641,0.418949202738051
"87",0.689161265966096,0.381730910239189
"88",0.682928325177998,0.438897784407053
"89",0.687947848746026,0.381730910239189
"90",0.667720294582607,0.364380651228935
"91",0.679533502356927,0.418949202738051
"92",0.678275993221629,0.399907314893312
"93",0.68414463475928,0.418949202738051
"94",0.693726404756009,0.381730910239189
"95",0.676526497481927,0.364380651228935
"96",0.673121605582714,0.399907314893312
"97",0.673747823096182,0.347818988268014
"98",0.693135688067559,0.347818988268014
"99",0.682683047837403,0.399907314893312
"100",0.675649368019888,0.418949202738051
